Substituent,%H2SO4,dH_kJmol,dH_err_kJmol,dS_JmolK,dS_err_JmolK
H,98.2,108.50068725872787,1.5575440533925757,8.208486367753766,4.480707714637637
H,91.7,110.08469591008662,1.089297781035689,-2.9033715986297253,3.0919633470439494
H,79.3,120.7914803950344,0.3600921294074712,11.048523221235046,1.006895186979237
p-Br,98.2,113.67799858527671,0.0,19.453655536396976,0.0
p-CH3,98.2,106.35909088839968,3.7680796114676194,6.433958936959685,11.403427742000321
p-Cl,98.2,107.8968595711865,3.61558664711944,2.565824405884111,10.355771745851133
p-F,98.2,114.21251651967708,0.0,22.339700531615694,0.0
p-I,98.2,109.36725992560288,0.0,7.662904838568463,0.0
p-NO2,98.2,123.20023854333878,6.02438447612326,24.137021260051505,17.255056131398668
p-OCH3,85.8,113.7679337151323,4.157189632392868,6.466478009478143,11.624398009209902
